preregistration_id,execution_git_sha,dataset_id,global_splits_sha256,contrast_id,left_arm_id,right_arm_id,metric_id,effect_definition,n_paired_seeds,n_paired_segments,estimate,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,raw_p_value,holm_family,holm_rank,holm_family_size,holm_adjusted_p,reject_alpha,bootstrap_B,status,notes
NEX-381-v6,,,,I1-K03-vs-K01,CAP-I1-K01,CAP-I1-K03,energy_half,right_minus_left,5,,,,,,,,energy_half:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,I1-K10-vs-K03,CAP-I1-K03,CAP-I1-K10,energy_half,right_minus_left,5,,,,,,,,energy_half:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,I1-K30-vs-K10,CAP-I1-K10,CAP-I1-K30,energy_half,right_minus_left,5,,,,,,,,energy_half:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H032-vs-H008,CAP-NN-H008,CAP-NN-H032,energy_half,right_minus_left,5,,,,,,,,energy_half:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H064-vs-H032,CAP-NN-H032,CAP-NN-H064,energy_half,right_minus_left,5,,,,,,,,energy_half:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H128-vs-H064,CAP-NN-H064,CAP-NN-H128,energy_half,right_minus_left,5,,,,,,,,energy_half:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,STRUCT-I1-K10-vs-NN-H008,CAP-I1-K10,CAP-NN-H008,energy_half,right_minus_left,5,,,,,,,,energy_half:structure,,1,,0.05,2000,,
NEX-381-v6,,,,I1-K03-vs-K01,CAP-I1-K01,CAP-I1-K03,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,I1-K10-vs-K03,CAP-I1-K03,CAP-I1-K10,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,I1-K30-vs-K10,CAP-I1-K10,CAP-I1-K30,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:I1-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H032-vs-H008,CAP-NN-H008,CAP-NN-H032,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H064-vs-H032,CAP-NN-H032,CAP-NN-H064,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,NN-H128-vs-H064,CAP-NN-H064,CAP-NN-H128,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:neural-capacity,,3,,0.05,2000,,
NEX-381-v6,,,,STRUCT-I1-K10-vs-NN-H008,CAP-I1-K10,CAP-NN-H008,hdr90_abs_calibration_error,right_minus_left,5,,,,,,,,hdr90_abs_calibration_error:structure,,1,,0.05,2000,,
